cores_normalized,threads_normalized,frequency_normalized,boost_frequency_normalized,cache_normalized,lithography_normalized,tdp_normalized
0.445,0.979,0.024,0.354,0.805,0.974,0.138
0.238,0.192,0.745,0.475,0.322,0.683,0.04
0.681,0.084,0.797,0.483,0.656,0.543,0.445
0.459,0.47,0.59,0.639,0.483,0.843,0.567
0.743,0.318,0.679,0.174,0.584,0.217,0.552
0.181,0.917,0.753,0.937,0.983,0.771,0.509
0.951,0.413,0.056,0.207,0.148,0.284,0.867
0.261,0.38,0.128,0.408,0.452,0.127,0.421
0.681,0.436,0.677,0.55,0.217,0.718,0.64
0.457,0.897,0.51,0.567,0.667,0.425,0.979
0.139,0.557,0.773,0.188,0.247,0.132,0.181
0.171,0.866,0.238,0.539,0.318,0.488,0.666
0.675,0.86,0.539,0.17,0.207,0.329,0.566
0.685,0.473,0.42,0.008,0.879,0.967,0.319
0.73,0.341,0.665,0.144,0.867,0.729,0.847
0.421,0.889,0.876,0.57,0.017,0.045,0.121
0.411,0.874,0.31,0.248,0.798,0.404,0.821
0.82,0.407,0.061,0.415,0.604,0.009,0.633
0.344,0.621,0.836,0.327,0.311,0.761,0.285
0.568,0.131,0.752,0.199,0.235,0.261,0.573
0.889,0.524,0.062,0.054,0.491,0.645,0.757
0.663,0.663,0.169,0.04,0.127,0.132,0.069
0.727,0.105,0.059,0.621,0.026,0.476,0.594
0.079,0.048,0.005,0.775,0.419,0.595,0.578
0.152,0.963,0.495,0.063,0.733,0.887,0.096
0.405,0.405,0.567,0.79,0.315,0.687,0.484
0.197,0.379,0.822,0.914,0.074,0.051,0.976
0.458,0.729,0.481,0.55,0.896,0.243,0.38
0.795,0.603,0.562,0.753,0.553,0.756,0.295
0.253,0.455,0.059,0.279,0.774,0.216,0.329
0.556,0.142,0.62,0.764,0.168,0.489,0.144
0.895,0.284,0.841,0.074,0.686,0.849,0.799
0.546,0.425,0.757,0.238,0.548,0.44,0.353
0.564,0.142,0.512,0.835,0.724,0.363,0.965
0.442,0.052,0.498,0.54,0.003,0.674,0.723
0.363,0.848,0.233,0.686,0.274,0.236,0.378
0.692,0.424,0.626,0.511,0.508,0.532,0.178
0.934,0.786,0.186,0.448,0.079,0.659,0.015
0.727,0.572,0.047,0.228,0.409,0.748,0.022
0.114,0.972,0.709,0.297,0.472,0.964,0.491
0.844,0.579,0.834,0.911,0.301,0.876,0.337
0.058,0.728,0.396,0.415,0.238,0.711,0.033
0.821,0.836,0.59,0.177,0.704,0.216,0.254
0.758,0.82,0.77,0.64,0.844,0.567,0.229
0.708,0.824,0.342,0.851,0.55,0.091,0.598
0.496,0.016,0.276,0.322,0.253,0.381,0.136
0.079,0.556,0.003,0.822,0.098,0.671,0.198
0.548,0.842,0.059,0.923,0.242,0.032,0.895
0.785,0.138,0.821,0.208,0.679,0.364,0.307
0.894,0.769,0.627,0.724,0.379,0.449,0.304
0.27,0.338,0.382,0.289,0.362,0.095,0.172
0.406,0.648,0.941,0.003,0.788,0.651,0.797
0.811,0.581,0.244,0.808,0.242,0.14,0.423
0.158,0.639,0.184,0.108,0.553,0.427,0.878
0.836,0.815,0.034,0.166,0.058,0.823,0.009
0.477,0.982,0.782,0.766,0.843,0.251,0.281
0.587,0.881,0.159,0.428,0.157,0.899,0.793
0.249,0.099,0.922,0.836,0.811,0.747,0.803
0.786,0.999,0.397,0.13,0.531,0.079,0.784
0.109,0.254,0.212,0.419,0.399,0.013,0.262
0.431,0.873,0.082,0.02,0.816,0.48,0.964
0.688,0.957,0.622,0.536,0.768,0.361,0.901
0.204,0.272,0.268,0.565,0.527,0.343,0.257
0.221,0.118,0.783,0.754,0.56,0.99,0.084
0.497,0.368,0.103,0.704,0.364,0.534,0.707
0.131,0.908,0.819,0.173,0.701,0.226,0.501
0.323,0.052,0.257,0.141,0.175,0.184,0
0.877,0.122,0.581,0.051,0.392,0.615,0.988
0.032,0.803,0.422,0.431,0.878,0.137,0.667
0.744,0.236,0.702,0.934,0.12,0.358,0.113
0.069,0.825,0.029,0.845,0.132,0.795,0.975
0.373,0.198,0.044,0.436,0.677,0.054,0.997
0.321,0.715,0.88,0.971,0.587,0.191,0.666
0.766,0.577,0.917,0.452,0.12,0.017,0.705
0.682,0.546,0.76,0.632,0.421,0.561,0.192
0.244,0.625,0.302,0.125,0.901,0.884,0.051
0.225,0.386,0.505,0.348,0.422,0.608,0.088
0.547,0.038,0.051,0.332,0.51,0.375,0.999
0.768,0.438,0.339,0.527,0.055,0.585,0.18
0.418,0.165,0.842,0.735,0.54,0.25,0.436
0.743,0.5,0.82,0.617,0.082,0.209,0.009
0.624,0.771,0.893,0.526,0.114,0.119,0.379
0.554,0.09,0.601,0.118,0.261,0.721,0.51
0.888,0.311,0.433,0.334,0.375,0.985,0.946
0.803,0.855,0.874,0.075,0.917,0.921,0.407
0.628,0.321,0.073,0.016,0.91,0.803,0.551
0.235,0.529,0.495,0.051,0.232,0.193,0.861
0.833,0.605,0.487,0.351,0.137,0.849,0.174
0.109,0.334,0.106,0.169,0.403,0.97,0.281
0.104,0.067,0.058,0.544,0.654,0.799,0.091
0.43,0.645,0.116,0.814,0.734,0.083,0.916
0.342,0.936,0.366,0.512,0.804,0.485,0.137
0.658,0.313,0.683,0.191,0.235,0.001,0.39
0.897,0.99,0.911,0.372,0.653,0.146,0.855
0.274,0.445,0.413,0.835,0.255,0.175,0.396
0,0.339,0.76,0.861,0.518,0.416,0.29
0.008,0.079,0.682,0.361,0.895,0.57,0.538
0.475,0.061,0.341,0.852,0.21,0.673,0.699
0.888,0.568,0.22,0.782,0.658,0.962,0.559
0.963,0.17,0.709,0.9,0.133,0.273,0.943
0.09,0.564,0.412,0.972,0.749,0.516,0.516
0.21,0.362,0.292,0.371,0.29,0.453,0.287
0.045,0.04,0.362,0.502,0.524,0.379,0.988
0.768,0.342,0.101,0.239,0.634,0.647,0.243
0.681,0.141,0.1,0.107,0.257,0.617,0.189
0.176,0.098,0.038,0.675,0.557,0.44,0.99
0.142,0.475,0.867,0.735,0.023,0.779,0.051
0.666,0.772,0.64,0.857,0.162,0.885,0.502
0.118,0.714,0.961,0.068,0.178,0.908,0.557
0.658,0.707,0.494,0.74,0.25,0.492,0.431
0.973,0.895,0.242,0.02,0.93,0.407,0.06
0.327,0.445,0.392,0.251,0.659,0.556,0.318
0.731,0.812,0.024,0.765,0.982,0.039,0.86
0.185,0.182,0.186,0.147,0.852,0.966,0.509
0.787,0.821,0.919,0.649,0.237,0.269,0.714
0.273,0.127,0.856,0.079,0.021,0.061,0.395
0.093,0.028,0.366,0.007,0.164,0.174,0.981
0.084,0.488,0.673,0.08,0.659,0.537,0.086
0.08,0.615,0.099,0.57,0.636,0.7,0.784
0.791,0.102,0.758,0.385,0.95,0.35,0.215
0.882,0.358,0.735,0.402,0.908,0.243,0.91
0.324,0.412,0.283,0.461,0.209,0.065,0.181
0.695,0.108,0.65,0.701,0.993,0.442,0.63
0.6,0.688,0.184,0.675,0.72,0.168,0.061
0.433,0.164,0.561,0.731,0.858,0.337,0.433
0.824,0.388,0.836,0.101,0.465,0.017,0.04
0.009,0.884,0.915,0.928,0.89,0.894,0.072
0.565,0.7,0.966,0.889,0.443,0.449,0.691
0.329,0.025,0.546,0.091,0.571,0.007,0.826
0.06,0.321,0.307,0.022,0.844,0.602,0.737
0.54,0.101,0.595,0.565,0.04,0.836,0.27
0.626,0.464,0.876,0.493,0.325,0.407,0.488
0.479,0.409,0.99,0.054,0.697,0.706,0.131
0.329,0.684,0.845,0.826,0.769,0.621,0.097
0.755,0.033,0.902,0.541,0.343,0.647,0.465
0.207,0.818,0.666,0.98,0.148,0.137,0.575
0.29,0.925,0.933,0.736,0.271,0.746,0.482
0.874,0.533,0.992,0.431,0.449,0.983,0.872
0.018,0.148,0.95,0.443,0.612,0.221,0.091
0.832,0.832,0.656,0.816,0.495,0.894,0.742
0.771,0.678,0.324,0.177,0.843,0.435,0.37
0.33,0.754,0.735,0.427,0.546,0.942,0.783
0.41,0.121,0.284,0.135,0.041,0.113,0.864
0.914,0.949,0.247,0.325,0.592,0.622,0.608
0.198,0.564,0.924,0.294,0.481,0.051,0.225
0.626,0.285,0.905,0.265,0.398,0.09,0.378
0.651,0.336,0.534,0.397,0.51,0.948,0.131
0.953,0.843,0.415,0.229,0.452,0.535,0.463
0.653,0.043,0.359,0.373,0.01,0.697,0.319
0.578,0.051,0.615,0.116,0.125,0.192,0.991
0.986,0.96,0.459,0.416,0.675,0.896,0.267
0.828,0.988,0.79,0.681,0.369,0.305,0.446
0.753,0.867,0.622,0.065,0.919,0.524,0.864
0.592,0.425,0.744,0.874,0.398,0.294,0.752
0.147,0.257,0.648,0.688,0.148,0.316,0.062
0.028,0.962,0.059,0.311,0.871,0.348,0.593
0.398,0.197,0.237,0.648,0.456,0.017,0.642
0.445,0.034,0.931,0.81,0.586,0.928,0.462
0.956,0.37,0.715,0.37,0.604,0.999,0.726
0.609,0.654,0.756,0.217,0.939,0.209,0.363
0.238,0.985,0.425,0.071,0.813,0.772,0.652
0.361,0.254,0.745,0.71,0.924,0.72,0.862
0.419,0.165,0.944,0.776,0.533,0.986,0.852
0.373,0.233,0.342,0.517,0.052,0.736,0.798
0.621,0.004,0.18,0.599,0.805,0.541,0.418
0.399,0.469,0.416,0.172,0.168,0.937,0.598
0.893,0.974,0.546,0.109,0.94,0.931,0.249
0.231,0.377,0.874,0.148,0.966,0.101,0.845
0.591,0.592,0.477,0.198,0.114,0.547,0.623
0.367,0.387,0.608,0.08,0.343,0.827,0.921
0.084,0.669,0.51,0.484,0.347,0.542,0.027
0.84,0.801,0.807,0.187,0.15,0.975,0.607
0.209,0.82,0.637,0.231,0.176,0.788,0.521
0.789,0.683,0.502,0.466,0.225,0.69,0.221
0.46,0.755,0.849,0.755,0.102,0.715,0.924
0.032,0.001,0.285,0.073,0.691,0.629,0.987
0.107,0.18,0.305,0.878,0.278,0.593,0.986
0.361,0.851,0.428,0.152,0.655,0.984,0.748
0.358,0.799,0.72,0.008,0.416,0.464,0.423
0.635,0.576,0.28,0.212,0.686,0.214,0.43
0.121,0.868,0.768,0.544,0.544,0.816,0.686
0.071,0.141,0.349,0.129,0.9,0.176,0.295
0.262,0.848,0.768,0.676,0.122,0.061,0.344
0.963,0.471,0.141,0.465,0.016,0.207,0.022
0.726,0.149,0.756,0.35,0.894,0.256,0.728
0.199,0.164,0.323,0.436,0.01,0.384,0.583
0.002,0.062,0.638,0.47,0.797,0.091,0.485
0.993,0.399,0.584,0.844,0.836,0.927,0.479
0.757,0.479,0.294,0.724,0.933,0.698,0.005
0.686,0.168,0.584,0.896,0.919,0.573,0.22
0.283,0.18,0.851,0.733,0.641,0.863,0.418
0.031,0.778,0.187,0.462,0.101,0.523,0.347
0.828,0.754,0.631,0.427,0.665,0.077,0.053
0.495,0.083,0.974,0.028,0.214,0.281,0.897
0.116,0.686,0.115,0.799,0.698,0.798,0.342
0.486,0.106,0.728,0.061,0.239,0.142,0.385
0.813,0.276,0.713,0.451,0.006,0.728,0.381
0.405,0.938,0.194,0.966,0.482,0.449,0.969
0.649,0.925,0.664,0.85,0.551,0.521,0.272
0.053,0.756,0.155,0.226,0.539,0.393,0.723
0.829,0.996,0.388,0.022,0.662,0.383,0.169
0.199,0.572,0.253,0.367,0.903,0.743,0.128
0.713,0.78,0.218,0.543,0.258,0.474,0.351
0.085,0.369,0.352,0.144,0.878,0.692,0.629
0.474,0.01,0.271,0.339,0.363,0.935,0.897
0.307,0.154,0.552,0.747,0.353,0.27,0.09
0.618,0.776,0.335,0.257,0.977,0.252,0.604
0.476,0.452,0.179,0.166,0.197,0.064,0.199
0.577,0.684,0.002,0.546,0.524,0.611,0.9
0.687,0.792,0.891,0.562,0.572,0.773,0.811
0.779,0.971,0.496,0.868,0.384,0.252,0.902
0.911,0.051,0.063,0.536,0.333,0.663,0.597
0.789,0.484,0.784,0.187,0.343,0.388,0.766
0.184,0.434,0.035,0.702,0.082,0.739,0.69
0.664,0.828,0.729,0.854,0.432,0.381,0.489
0.766,0.776,0.797,0.309,0.986,0.672,0.861
0.17,0.815,0.807,0.103,0.794,0.544,0.009
0.704,0.37,0.364,0.68,0.648,0.691,0.039
0.046,0.091,0.76,0.269,0.845,0.446,0.323
0.636,0.889,0.33,0.907,0.527,0.699,0.041
0.487,0.83,0.709,0.422,0.716,0.633,0.15
0.913,0.625,0.781,0.961,0.924,0.416,0.313
0.238,0.152,0.626,0.308,0.646,0.126,0.433
0.247,0.131,0.932,0.669,0.547,0.179,0.995
0.297,0.291,0.379,0.977,0.325,0.549,0.878
0.547,0.04,0.956,0.269,0.306,0.919,0.51
0.977,0.14,0.665,0.28,0.886,0.959,0.383
0.859,0.324,0.389,0.944,0.117,0.101,0.387
0.715,0.258,0.568,0.403,0.812,0.713,0.432
0.603,0.179,0.491,0.607,0.546,0.914,0.338
0.834,0.53,0.177,0.874,0.354,0.774,0.931
0.507,0.574,0.401,0.741,0.375,0.817,0.084
0.797,0.71,0.223,0.843,0.988,0.798,0.34
0.728,0.489,0.505,0.409,0.906,0.38,0.463
0.06,0.524,0.323,0.57,0.075,0.592,0.469
0.175,0.457,0.918,0.44,0.663,0.498,0.943
0.132,0.474,0.323,0.419,0.942,0.265,0.297
0.974,0.22,0.357,0.857,0.239,0.388,0.315
0.558,0.945,0.189,0.259,0.231,0.562,0.542
0.621,0.695,0.684,0.123,0.534,0.597,0.054
0.017,0.697,0.65,0.748,0.363,0.06,0.685
0.206,0.967,0.085,0.21,0.314,0.512,0.821
0.211,0.804,0.99,0.891,0.197,0.723,0.231
0.506,0.943,0.181,0.619,0.989,0.986,0.062
0.84,0.567,0.438,0.689,0.647,0.103,0.466
0.867,0.742,0.993,0.498,0.516,0.377,0.607
0.583,0.605,0.775,0.37,0.659,0.211,0.536
0.929,0.59,0.664,0.242,0.063,0.487,0.292
0.675,0.379,0.5,0.839,0.452,0.016,0.984
0.044,0.395,0.203,0.36,0.173,0.214,0.507
0.381,0.488,0.508,0.059,0.817,0.559,0.545
0.858,0.442,0.222,0.026,0.055,0.255,0.982
0.279,0.752,0.957,0.899,0.231,0.528,0.316
0.718,0.83,0.96,0.661,0.563,0.44,0.151
0.765,0.859,0.22,0.817,0.416,0.52,0.164
0.307,0.443,0.484,0.087,0.9,0.283,0.537
0.311,0.648,0.921,0.533,0.982,0.607,0.24
0.945,0.446,0.755,0.338,0.834,0.569,0.661
0.64,0.296,0.979,0.981,0.298,0.928,0.101
0.336,0.031,0.157,0.265,0.159,0.391,0.43
0.633,0.785,0.206,0.386,0.626,0.204,0.479
0.005,0.66,0.34,0.366,0.104,0.961,0.769
0.861,0.813,0.379,0.472,0.672,0.383,0.503
0.123,0.889,0.395,0.882,0.712,0.532,0.197
0.036,0.335,0.892,0.766,0.415,0.963,0.882
0.458,0.199,0.659,0.899,0.88,0.291,0.662
0.239,0.67,0.959,0.898,0.162,0.116,0.383
0.225,0.721,0.384,0.374,0.364,0.855,0.323
0.24,0.931,0.349,0.106,0.543,0.685,0.605
0.452,0.05,0.869,0.429,0.716,0.584,0.006
0.378,0.36,0.613,0.249,0.256,0.039,0.383
0.768,0.199,0.434,0.53,0.208,0.086,0.602
0.941,0.061,0.688,0.987,0.539,0.298,0.185
0.583,0.004,0.007,0.015,0.436,0.4,0.229
0.545,0.608,0.466,0.884,0.755,0.111,0.512
0.638,0.281,0.374,0.47,0.752,0.25,0.552
0.948,0.049,0.738,0.984,0.549,0.161,0.287
0.095,0.316,0.769,0.369,0.53,0.115,0.257
0.943,0.115,0.53,0.62,0.798,0.796,0.067
0.658,0.657,0.697,0.256,0.929,0.781,0.419
0.074,0.97,0.939,0.21,0.715,0.452,0.982
0.111,0.092,0.422,0.434,0.165,0.475,0.977
0.828,0.757,0.779,0.612,0.849,0.402,0.856
0.268,0.64,0.936,0.366,0.167,0.741,0.49
0.247,0.451,0.967,0.19,0.51,0.356,0.384
0.296,0.312,0.768,0.133,0.969,0.778,0.707
0.397,0.649,0.254,0.071,0.693,0.033,0.549
0.136,0.504,0,0.672,0.317,0.669,0.399
0.111,0.982,0.33,0.106,0.242,0.695,0.208
0.211,0.257,0.591,0.859,0.687,0.297,0.69
0.99,0.437,0.33,0.176,0.237,0.88,0.631
0.337,0.987,0.91,0.012,0.971,0.266,0.827
0.308,0.628,0.779,0.154,0.681,0.124,0.636
0.754,0.268,0.727,0.457,0.047,0.116,0.798
0.263,0.393,0.256,0.986,0.646,0.98,0.267
0.203,0.124,0.784,0.487,0.831,0.687,0.806
0.675,0.408,0.664,0.099,0.447,0.433,0.135
0.385,0.171,0.815,0.349,0.404,0.802,0.528
0.269,0.929,0.918,0.97,0.818,0.241,0.609
0.739,0.968,0.096,0.059,0.417,0.207,0.735
0.174,0.575,0.997,0.524,0.364,0.75,0.041
0.464,0.955,0.771,0.77,0.08,0.854,0.799
0.88,0.323,0.087,0.202,0.94,0.374,0.714
0.499,0.943,0.025,0.338,0.941,0.616,0.216
0.217,0.248,0.962,0.175,0.177,0.048,0.013
0.362,0.217,0.514,0.219,0.531,0.971,0.82
0.049,0.24,0.381,0.525,0.727,0.84,0.131
0.826,0.963,0.159,0.738,0.875,0.353,0.887
0.422,0.241,0.233,0.506,0.761,0.195,0.624
0.519,0.16,0.799,0.678,0.067,0.244,0.775
0.174,0.909,0.305,0.645,0.342,0.842,0.535
0.06,0.474,0.13,0.508,0.207,0.367,0.734
0.026,0.661,0.125,0.832,0.268,0.547,0.673
0.892,0.743,0.112,0.514,0.471,0.274,0.052
0.048,0.981,0.575,0.923,0.08,0.84,0.406
0.734,0.039,0.443,0.644,0.572,0.971,0.834
0.539,0.371,0.844,0.941,0.099,0.75,0.924
0.724,0.002,0.718,0.242,0.106,0.304,0.945
0.639,0.826,0.316,0.481,0.179,0.515,0.912
0.144,0.024,0.271,0.523,0.547,0.712,0.759
0.826,0.497,0.262,0.333,0.109,0.384,0.365
0.547,0.372,0.021,0.123,0.8,0.907,0.339
0.95,0.34,0.339,0.109,0.954,0.306,0.522
0.488,0.927,0.171,0.892,0.846,0.169,0.269
0.219,0.288,0.246,0.105,0.909,0.188,0.937
0.413,0.501,0.039,0.331,0.233,0.325,0.532
0.465,0.434,0.511,0.716,0.614,0.492,0.114
0.481,0.295,0.05,0.937,0.934,0.236,0.503
0.605,0.973,0.403,0.118,0.198,0.929,0.386
1,0.1,0.516,0.617,0.197,0.655,0.087
0.064,0.041,0.737,0.154,0.863,0.006,0.975
0.505,0.06,0.39,0.887,0.412,0.928,0.543
0.722,0.566,0.267,0.897,0.111,0.026,0.629
0.315,0.878,0.14,0.513,0.32,0.029,0.707
0.897,0.224,0.427,0.044,0.223,0.942,0.037
0.937,0.69,0.543,0.107,0.264,0.112,0.531
0.308,0.382,0.292,0.706,0.198,0.194,0.657
0.084,0.812,0.91,0.334,0.003,0.055,0.678
0.703,0.225,0.071,0.496,0.704,0.989,0.045
0.787,0.484,0.48,0.032,0.19,0.358,0.181
0.481,0.292,0,0.385,0.095,0.838,0.38
0.98,0.628,0.274,0.646,0.938,0.772,0.411
0.878,0.513,0.053,0.936,0.466,0.376,0.146
0.142,0.05,0.904,0.894,0.217,0.19,0.283
0.22,0.094,0.014,0.092,0.314,0.253,0.868
0.083,0.334,0.991,0.547,0.841,0.243,0.011
0.114,0.485,0.012,0.601,0.481,0.161,0.655
0.373,0.9,0.015,0.26,0.924,0.254,0.094
0.85,0.127,0.872,0.517,0.333,0.614,0.82
0.974,0.056,0.338,0.158,0.134,0.046,0.132
0.927,0.451,0.426,0.582,0.64,0.11,0.382
0.373,0.834,0.844,0.674,0.125,0.078,0.272
0.726,0.789,0.997,0.347,0.566,0.494,0.293
0.165,0.685,0.952,0.795,0.145,0.155,0.397
0.229,0.876,0.5,0.623,0.184,0.083,0.721
0.249,0.702,0.602,0.431,0.58,0.536,0.233
0.682,0.079,0.731,0.603,0.407,0.299,0.766
0.398,0.679,0.199,0.193,0.657,0.593,0.81
0.419,0.241,0.019,0.577,0.229,0.164,0.107
0.627,0.812,0.908,0.086,0.786,0.662,0.742
0.573,0.711,0.19,0.28,0.63,0.454,0.674
0.16,0.876,0.726,0.407,0.559,0.624,0.342
0.487,0.125,0.994,0.122,0.972,0.449,0.832
0.702,0.515,0.868,0.207,0.882,0.555,0.974
0.901,0.312,0.779,0.657,0.22,0.427,0.192
0.789,0.875,0.622,0.126,0.265,0.385,0.144
0.573,0.292,0.8,0.867,0.683,0.94,0.097
0.81,0.42,0.425,0.669,0.037,0.571,0.668
0.926,0.524,0.554,0.184,0.362,0.529,0.14
0.325,0.623,0.743,0.934,0.035,0.236,0.694
0.462,0.721,0.377,0.565,0.242,0.516,0.964
0.618,0.535,0.468,0.166,0.473,0.043,0.881
0.206,0.456,0.387,0.991,0.091,0.565,0.894
0.652,0.211,0.265,0.685,0.014,0.16,0.48
0.761,0.634,0.787,0.924,0.252,0.347,0.184
0.463,0.255,0.952,0.595,0.93,0.509,0.066
0.398,0.611,0.164,0.425,0.76,0.097,0.323
0.834,0.592,0.253,0.762,0.215,0.765,0.951
0.098,0.043,0.462,0.866,0.459,0.98,0.02
0.457,0.568,0.116,0.468,0.737,0.213,0.828
0.695,0.808,0.158,0.094,0.553,0.917,0.466
0.58,0.414,0.191,0.217,0.468,0.099,0.605
0.78,0.679,0.796,0.663,0.694,0.582,0.337
0.304,0.171,0.106,0.42,0.412,0.364,0.625
0.706,0.403,0.856,0.653,0.877,0.872,0.131
0.076,0.694,0.901,0.416,0.353,0.219,0.16
0.382,0.961,0.126,0.853,0.325,0.339,0.607
0.934,0.623,0.688,0.959,0.566,0.143,0.684
0.676,0.986,0.038,0.609,0.774,0.43,0.583
0.003,0.171,0.634,0.7,0.878,0.406,0.421
0.846,0.376,0.188,0.105,0.738,0.519,0.038
0.365,0.574,0.729,0.733,0.256,0.795,0.299
0.451,0.961,0.542,0.31,0.142,0.483,0.666
0.761,0.107,0.592,0.823,0.431,0.724,0.782
0.725,0.086,0.172,0.607,0.36,0.708,0.362
0.063,0.919,0.51,0.004,0.568,0.249,0.182
0.212,0.396,0.627,0.493,0.634,0.936,0.721
0.843,0.463,0.38,0.287,0.083,0.087,0.253
0.656,0.658,0.841,0.572,0.838,0.515,0.143
0.353,0.103,0.857,0.308,0.782,0.055,0.287
0.411,0.064,0.45,0.534,0.824,0.443,0.13
0.049,0.343,0.105,0.017,0.626,0.241,0.167
0.902,0.491,0.91,0.962,0.819,0.327,0.641
0.365,0.51,0.546,0.525,0.41,0.009,0.428
0.178,0.062,0.378,0.963,0.954,0.178,0.063
0.929,0.93,0.276,0.18,0.785,0.572,0.866
0.218,0.716,0.785,0.216,0.134,0.869,0.18
0.823,0.455,0.825,0.255,0.112,0.721,0.081
0.867,0.839,0.984,0.359,0.609,0.165,0.531
0.205,0.909,0.875,0.501,0.861,0.308,0.318
0.779,0.79,0.23,0.749,0.608,0.43,0.909
0.766,0.383,0.751,0.086,0.161,0.216,0.406
0.648,0.289,0.069,0.29,0.304,0.314,0.315
0.074,0.145,0.441,0.591,0.044,0.963,0.032
0.905,0.879,0.146,0.778,0.211,0.122,0.309
0.414,0.171,0.708,0.573,0.592,0.699,0.961
0.504,0.553,0.292,0.934,0.298,0.525,0.75
0.233,0.053,0.225,0.185,0.483,0.324,0.3
0.956,0.458,0.941,0.87,0.104,0.204,0.918
0.679,0.684,0.882,0.942,0.827,0.722,0.604
0.909,0.955,0.777,0.628,0.289,0.718,0.094
0.286,0.67,0.516,0.62,0.282,0.26,0.03
0.636,0.366,0.926,0.371,0.136,0.288,0.424
0.937,0.168,0.988,0.703,0.596,0.268,0.626
0.01,0.27,0.306,0.193,0.067,0.465,0.918
0.678,0.733,0.69,0.311,0.792,0.213,0.651
0.677,0.312,0.669,0.089,0.103,0.459,0.596
0.668,0.173,0.126,0.422,0.717,0.341,0.75
0.108,0.675,0.382,0.335,0.135,0.223,0.156
0.977,0.398,0.184,0.337,0.457,0.149,0.214
0.096,0.339,0.726,0.529,0.038,0.866,0.472
0.919,0.243,0.182,0.172,0.702,0.402,0.37
0.302,0.269,0.67,0.503,0.159,0.932,0.337
0.045,0.788,0.961,0.136,0.4,0.138,0.891
0.55,0.556,0.487,0.067,0.673,0.633,0.352
0.183,0.472,0.403,0.867,0.837,0.444,0.544
0.512,0.629,0.816,0.172,0.025,0.197,0.111
0.807,0.03,0.454,0.777,0.007,0.158,0.553
0.137,0.372,0.342,0.052,0.156,0.784,0.884
0.121,0.354,0.667,0.414,0.773,0.69,0.756
0.082,0.727,0.78,0.604,0.294,0.738,0.743
0.475,0.914,0.298,0.932,0.82,0.116,0.7
0.978,0.67,0.054,0.262,0.025,0.603,0.349
0.082,0.483,0.968,0.637,0.467,0.303,0.623
0.646,0.819,0.06,0.14,0.508,0.208,0.812
0.201,0.502,0.516,0.828,0.394,0.414,0.753
0.168,0.875,0.217,0.84,0.846,0.332,0.395
0.117,0.81,0.448,0.425,0.81,0.276,0.74
0.719,0.143,0.822,0.613,0.734,0.225,0.935
0.911,0.842,0.506,0.724,0.496,0.828,0.627
0.79,0.376,0.585,0.116,0.753,0.189,0.714
0.192,0.463,0.911,0.868,0.764,0.361,0.433
0.83,0.077,0.108,0.203,0.48,0.655,0.8
0.539,0.262,0.841,0.28,0.883,0.36,0.064
0.366,0.018,0.24,0.407,0.342,0.746,0.919
0.649,0.611,0.787,0.345,0.64,0.408,0.629
0.218,0.756,0.085,0.749,0.65,0.968,0.229
0.521,0.162,0.762,0.693,0.503,0.045,0.914
0.339,0.989,0.729,0.563,0.497,0.893,0.113
0.615,0.488,0.388,0.98,0.872,0.213,0.925
0.933,0.66,0.955,0.939,0.983,0.024,0.991
0.713,0.739,0.241,0.145,0.916,0.505,0.741
0.431,0.414,0.972,0.44,0.172,0.503,0.526
0.28,0.455,0.534,0.506,0.541,0.918,0.24
0.278,0.595,0.661,0.506,0.729,0.151,0.93
0.198,0.773,0.706,0.838,0.152,0.039,0.393
0.684,0.265,0.544,0.839,0.086,0.929,0.864
0.408,0.285,0.268,0.492,0.529,0.929,0.806
0.51,0.751,0.971,0.084,0.852,0.393,0.27
0.404,0.964,0.359,0.233,0.252,0.74,0.605
0.884,0.969,0.528,0.939,0.381,0.629,0.073
0.694,0.069,0.99,0.545,0.47,0.402,0.392
0.92,0.161,0.597,0.907,0.955,0.673,0.227
0.486,0.462,0.134,0.578,0.373,0.71,0.585
0.648,0.357,0.016,0.828,0.748,0.473,0.529
0.308,0.507,0.618,0.252,0.767,0.248,0.149
0.249,0.229,0.044,0.511,0.121,0.094,0.426
0.949,0.347,0.13,0.415,0.91,0.638,0.305
0.362,0.393,0.813,0.274,0.337,0.207,0.623
0.581,0.519,0.762,0.764,0.339,0.46,0.615
0.29,0.378,0.965,0.142,0.817,0.41,0.341
0.204,0.767,0.637,0.954,0.036,0.317,0.705
0.418,0.179,0.188,0.759,0.984,0.339,0.543
0.253,0.959,0.719,0.509,0.54,0.875,0.153
0.645,0.554,0.713,0.102,0.132,0.734,0.384
0.539,0.833,0.86,0.426,0.142,0.119,0.178
0.428,0.394,0.996,0.22,0.326,0.238,0.337
0.057,0.379,0.037,0.267,0.816,0.549,0.407
0.706,0.634,0.342,0.088,0.557,0.934,0.616
0.635,0.703,0.578,0.857,0.338,0.556,0.257
0.235,0.078,0.742,0.949,0.57,0.386,0.395
0.293,0.335,0.305,0.631,0.829,0.544,0.056
0.795,0.593,0.929,0.754,0.783,0.225,0.305
0.174,0.122,0.989,0.245,0.525,0.854,0.403
0.433,0.227,0.688,0.917,0.91,0.177,0.606
0.15,0.41,0.503,0.268,0.398,0.705,0.903
0.537,0.407,0.795,0.669,0.387,0.852,0.808
0.665,0.451,0.507,0.071,0.813,0.902,0.598
